Login, Войти
Logout, Выйти
Email, E-mail
Password, Пароль
Forgot your password?, Забыли пароль?
Create an account, Создать аккаунт
Register, Зарегистрироваться
Full Name, Полное имя
Full name, Полное имя
SIGN IN, ВОЙТИ
Order History, История заказов
Account Details, Аккаунт
You have not placed any orders yet, Вы пока ничего не заказывали
My Account, Мой аккаунт
Already have an account?, Уже есть аккаунт?
Contact information, Контактная информация
City, Город
Account Information, Информация об аккаунте
Address, Адрес
Postcode, Индекс
Postcode is required, Введите индекс
Telephone is required, Введите телефон
Telephone, Телефон
Full name is required, Введите имя
Country is required, Введите страну
Country, Страна
Province is required, Введите регион
Province, Регион
Billing Address, Платежный адрес
Shipping Address, Адрес доставки
Create A New Account, Создать новый аккаунт
Contact, Контакты
Customer information, О пользователе